,AGENCY,PDATE,DDATE,LOR,MIN_DAILY_FARE,AVG_DAILY_FARE,MONTH_PDATE,DAY_PDATE
464,ZI,2019-01-05,2019-01-13,8,26.82125,55.193173352436,01,05
463,ZE,2019-01-05,2019-01-13,8,21.4775,63.604907483553,01,05
458,ZE,2019-01-05,2019-01-09,4,24.965,45.099417517007,01,05
449,ZT,2019-01-05,2019-01-10,5,24.966,38.5599,01,05
448,ZR,2019-01-05,2019-01-10,5,25.044,39.083413407821,01,05
447,ZL,2019-01-05,2019-01-10,5,76.552,95.03638333333299,01,05
427,ZI,2019-01-05,2019-01-11,6,31.86,64.547631085871,01,05
9040,ZR,2019-01-05,2019-01-07,2,18.76,34.460341880342,01,05
7398,ZR,2019-01-05,2019-01-14,9,16.95555556,33.560582310935004,01,05
7390,ZL,2019-01-05,2019-01-09,4,53.075,91.322834394904,01,05
10650,ET,2019-01-05,2019-01-08,3,23.99,62.928475541058,01,05
7365,ZL,2019-01-05,2019-01-11,6,64.055,78.75613259558,01,05
8644,ZE,2019-01-05,2019-01-08,3,24.96666667,48.464549808994,01,05
7311,ZD,2019-01-05,2019-01-06,1,22.54,55.565983870968,01,05
7310,ZT,2019-01-05,2019-01-06,1,18.71,28.676833602585003,01,05
339,ZL,2019-01-05,2019-01-08,3,53.07333333,89.151663806381,01,05
10605,ZI,2019-01-05,2019-01-06,1,23.38,59.455420711974,01,05
10606,ZR,2019-01-05,2019-01-06,1,18.76,31.382184466019,01,05
10607,AL,2019-01-05,2019-01-06,1,22.39,61.855634028892005,01,05
332,ZE,2019-01-05,2019-01-06,1,24.97,58.508862847222005,01,05
10651,ZT,2019-01-05,2019-01-08,3,18.70333333,40.676100408231,01,05
9038,ZE,2019-01-05,2019-01-07,2,24.97,63.696109298532,01,05
10653,ZD,2019-01-05,2019-01-08,3,22.54666667,67.809556707288,01,05
10652,AL,2019-01-05,2019-01-08,3,22.44666667,60.002311645514,01,05
3899,ZE,2019-01-05,2019-01-10,5,30.504,63.556727564103,01,05
3900,AL,2019-01-05,2019-01-10,5,28.538,64.82605,01,05
3935,AL,2019-01-05,2019-01-11,6,24.04333333,54.737736454792994,01,05
4006,ZI,2019-01-05,2019-01-09,4,39.195,63.763409810127,01,05
10825,ZI,2019-01-05,2019-01-12,7,27.49142857,55.391977039612996,01,05
